Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,20000000,Construction,16800,19900,3100,0.185
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,20238000,Specialty Trade Contractors,11300,13500,2200,0.195
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,30000000,Manufacturing,26200,25500,-700,-0.027
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,31000000,Durable Goods Manufacturing,19500,18800,-700,-0.036
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,31334000,Computer and Electronic Product Manufacturing,5500,4700,-800,-0.145
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,32000000,Nondurable Goods Manufacturing,6700,6700,0,0
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,32325000,Chemical Manufacturing,2300,2600,300,0.13
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,40000000,"Trade, Transportation, and Utilities",59000,63100,4100,0.069
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,41000000,Wholesale Trade,13100,14200,1100,0.084
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,42000000,Retail Trade,39600,41700,2100,0.053
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,42445000,Food and Beverage Stores,8600,9600,1000,0.116
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,42448000,Clothing and Clothing Accessories Stores,5000,4300,-700,-0.14
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,42452000,General Merchandise Stores,5900,6100,200,0.034
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",6300,7200,900,0.143
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,43400089,Transportation and Warehousing,5400,6200,800,0.148
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,50000000,Information,5000,5000,0,0
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,55000000,Financial Activities,16400,16000,-400,-0.024
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,55520000,Finance and Insurance,12300,11700,-600,-0.049
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,55522000,Credit Intermediation and Related Activities,7400,6900,-500,-0.068
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,55524000,Insurance Carriers and Related Activities,3800,3600,-200,-0.053
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,55530000,Real Estate and Rental and Leasing,4100,4300,200,0.049
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60000000,Professional and Business Services,42900,48900,6000,0.14
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60540000,"Professional, Scientific, and Technical Services",16600,19900,3300,0.199
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60550000,Management of Companies and Enterprises,7300,7700,400,0.055
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,19000,21300,2300,0.121
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60561000,Administrative and Support Services,18000,20200,2200,0.122
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,60561300,Employment Services,8200,9000,800,0.098
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",47700,58000,10300,0.216
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,70000000,Leisure and Hospitality,37800,45100,7300,0.193
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,70720000,Accommodation and Food Services,32600,39000,6400,0.196
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),9500,10000,500,0.053
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90000000,Government,46900,49000,2100,0.045
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90910000,Federal Government,7300,7300,0,0
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90940000,State and Local Government,39600,41700,2100,0.053
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90920000,State Government,3000,3500,500,0.167
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90921611,State Government Education,1500,2000,500,0.333
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90922000,State Government Excluding Education,1500,1500,0,0
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90930000,Local Government,36600,38200,1600,0.044
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90931611,Local Government Education,21000,21900,900,0.043
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA (Ventura County),2018-2028,90932000,Local Government Excluding Education,15600,16300,700,0.045
Metropolitan Area,Redding MSA (Shasta County),2018-2028,000001,Total Employment,72500,78400,5900,0.081
Metropolitan Area,Redding MSA (Shasta County),2018-2028,006010,Self Employment,4200,4600,400,0.095
Metropolitan Area,Redding MSA (Shasta County),2018-2028,008010,Private Household Workers,100,100,0,0
Metropolitan Area,Redding MSA (Shasta County),2018-2028,11000000,Total Farm,900,900,0,0
Metropolitan Area,Redding MSA (Shasta County),2018-2028,0,Total Nonfarm,67300,72800,5500,0.082
Metropolitan Area,Redding MSA (Shasta County),2018-2028,15000000,"Mining, Logging, and Construction",3500,4100,600,0.171
Metropolitan Area,Redding MSA (Shasta County),2018-2028,30000000,Manufacturing,2600,2500,-100,-0.038
Metropolitan Area,Redding MSA (Shasta County),2018-2028,40000000,"Trade, Transportation, and Utilities",12800,13000,200,0.016
Metropolitan Area,Redding MSA (Shasta County),2018-2028,41000000,Wholesale Trade,1800,1800,0,0
Metropolitan Area,Redding MSA (Shasta County),2018-2028,42000000,Retail Trade,9100,9000,-100,-0.011
Metropolitan Area,Redding MSA (Shasta County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",1900,2200,300,0.158
Metropolitan Area,Redding MSA (Shasta County),2018-2028,50000000,Information,600,500,-100,-0.167
Metropolitan Area,Redding MSA (Shasta County),2018-2028,55000000,Financial Activities,2700,3000,300,0.111
Metropolitan Area,Redding MSA (Shasta County),2018-2028,60000000,Professional and Business Services,7500,8100,600,0.08
Metropolitan Area,Redding MSA (Shasta County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",15100,18200,3100,0.205
Metropolitan Area,Redding MSA (Shasta County),2018-2028,70000000,Leisure and Hospitality,6800,7200,400,0.059
Metropolitan Area,Redding MSA (Shasta County),2018-2028,70720000,Accommodation and Food Services,5900,6000,100,0.017
Metropolitan Area,Redding MSA (Shasta County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),2500,2400,-100,-0.04
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90000000,Government,13300,13800,500,0.038
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90910000,Federal Government,1300,1300,0,0
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90940000,State and Local Government,12000,12500,500,0.042
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90920000,State Government,2000,2100,100,0.05
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90930000,Local Government,10000,10400,400,0.04
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90931611,Local Government Education,5500,5700,200,0.036
Metropolitan Area,Redding MSA (Shasta County),2018-2028,90932000,Local Government Excluding Education,4600,4700,100,0.022
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,000001,Total Employment,1610500,1773100,162600,0.101
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,006010,Self Employment,88400,96400,8000,0.09
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,008010,Private Household Workers,900,1200,300,0.333
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,11000000,Total Farm,14500,14800,300,0.021
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,0,Total Nonfarm,1506700,1660700,154000,0.102
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,10000000,Mining and Logging,1200,1100,-100,-0.083
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20000000,Construction,105200,119000,13800,0.131
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20236000,Construction of Buildings,15600,17700,2100,0.135
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20237000,Heavy and Civil Engineering Construction,12500,13900,1400,0.112
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20238000,Specialty Trade Contractors,77000,87400,10400,0.135
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",24000,27200,3200,0.133
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20238200,Building Equipment Contractors,26800,31600,4800,0.179
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,20238300,Building Finishing Contractors,17800,19800,2000,0.112
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,30000000,Manufacturing,101100,98400,-2700,-0.027
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,31000000,Durable Goods Manufacturing,65100,63000,-2100,-0.032
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,31332000,Fabricated Metal Product Manufacturing,15000,15400,400,0.027
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,32000000,Nondurable Goods Manufacturing,36000,35500,-500,-0.014
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,40000000,"Trade, Transportation, and Utilities",379600,434800,55200,0.145
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,41000000,Wholesale Trade,65500,69200,3700,0.056
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",38500,40000,1500,0.039
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",24000,26800,2800,0.117
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42000000,Retail Trade,181200,183400,2200,0.012
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42441000,Motor Vehicle and Parts Dealers,26000,26300,300,0.012
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42441300,"Automotive Parts, Accessories, and Tire Stores",7500,7200,-300,-0.04
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,14300,14300,0,0
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42445000,Food and Beverage Stores,34100,37200,3100,0.091
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42446000,Health and Personal Care Stores,11600,12100,500,0.043
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42448000,Clothing and Clothing Accessories Stores,21000,18700,-2300,-0.11
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42448100,Clothing Stores,15800,14100,-1700,-0.108
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,42452000,General Merchandise Stores,36000,35900,-100,-0.003
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43000000,"Transportation, Warehousing, and Utilities",132900,182200,49300,0.371
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43220000,Utilities,4900,4900,0,0
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43400089,Transportation and Warehousing,128000,177300,49300,0.385
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43484000,Truck Transportation,27000,33600,6600,0.244
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43484100,General Freight Trucking,21200,27100,5900,0.278
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43492000,Couriers and Messengers,14300,20000,5700,0.399
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,43493000,Warehousing and Storage,68900,104700,35800,0.52
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,50000000,Information,11400,12100,700,0.061
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,50511000,Publishing Industries (except Internet),1600,1500,-100,-0.063
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,50517000,Telecommunications,5300,5400,100,0.019
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55000000,Financial Activities,43800,45300,1500,0.034
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55520000,Finance and Insurance,24600,24700,100,0.004
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55522000,Credit Intermediation and Related Activities,13400,12800,-600,-0.045
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55522100,Depository Credit Intermediation,9000,7800,-1200,-0.133
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55522200,Nondepository Credit Intermediation,2900,3100,200,0.069
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55524000,Insurance Carriers and Related Activities,9400,10300,900,0.096
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55524100,Insurance Carriers,3200,3200,0,0
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55530000,Real Estate and Rental and Leasing,19300,20600,1300,0.067
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,55531000,Real Estate,13400,14800,1400,0.104
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60000000,Professional and Business Services,151400,165900,14500,0.096
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60540000,"Professional, Scientific, and Technical Services",42000,47100,5100,0.121
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60550000,Management of Companies and Enterprises,8300,8400,100,0.012
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,101000,110400,9400,0.093
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60561000,Administrative and Support Services,97100,105800,8700,0.09
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60561300,Employment Services,43100,47500,4400,0.102
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60561600,Investigation and Security Services,16100,17300,1200,0.075
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,60561700,Services to Buildings and Dwellings,20300,22600,2300,0.113
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",239500,277900,38400,0.16
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65610000,Educational Services (Private),19400,21700,2300,0.119
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65611300,"Colleges, Universities, and Professional Schools",6300,7200,900,0.143
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65620000,Health Care and Social Assistance,220100,256200,36100,0.164
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65621000,Ambulatory Health Care Services,74900,92600,17700,0.236
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65621100,Offices of Physicians,23100,25800,2700,0.117
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65622000,Hospitals (Private),40200,44600,4400,0.109
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,65623000,Nursing and Residential Care Facilities,27200,31500,4300,0.158
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70000000,Leisure and Hospitality,170600,191200,20600,0.121
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70710000,"Arts, Entertainment, and Recreation",19800,21300,1500,0.076
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70720000,Accommodation and Food Services,150900,170000,19100,0.127
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70721000,Accommodation,18400,17900,-500,-0.027
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70722000,Food Services and Drinking Places,132500,152000,19500,0.147
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,70722500,Restaurants and Other Eating Places,128100,147500,19400,0.151
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),45800,48300,2500,0.055
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,80811000,Repair and Maintenance,17300,17700,400,0.023
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,80812000,Personal and Laundry Services,12900,14500,1600,0.124
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90000000,Government,257200,266700,9500,0.037
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90910000,Federal Government,20700,21000,300,0.014
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90940000,State and Local Government,236500,245700,9200,0.039
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90920000,State Government,30600,32500,1900,0.062
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90921611,State Government Education,12800,14200,1400,0.109
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90922000,State Government Excluding Education,17800,18300,500,0.028
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90930000,Local Government,205900,213300,7400,0.036
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90931611,Local Government Education,125300,128700,3400,0.027
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2018-2028,90932000,Local Government Excluding Education,80600,84600,4000,0.05
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,000001,Total Employment,1080300,1170600,90300,0.084
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,006010,Self Employment,71900,77600,5700,0.079
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,008010,Private Household Workers,1000,1100,100,0.1
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,11000000,Total Farm,9100,9100,0,0
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,0,Total Nonfarm,998300,1082800,84500,0.085
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,10000000,Mining and Logging,500,400,-100,-0.2
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20000000,Construction,64500,71500,7000,0.109
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20236000,Construction of Buildings,13700,15500,1800,0.131
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20238000,Specialty Trade Contractors,44400,49100,4700,0.106
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",12600,13700,1100,0.087
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20238200,Building Equipment Contractors,17500,19700,2200,0.126
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,20238300,Building Finishing Contractors,9500,10900,1400,0.147
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,30000000,Manufacturing,36000,36200,200,0.006
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,31000000,Durable Goods Manufacturing,23200,23400,200,0.009
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,31334000,Computer and Electronic Product Manufacturing,4500,4800,300,0.067
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,32000000,Nondurable Goods Manufacturing,12700,12800,100,0.008
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,32311000,Food Manufacturing,4300,4200,-100,-0.023
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,40000000,"Trade, Transportation, and Utilities",159900,168900,9000,0.056
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,41000000,Wholesale Trade,28400,29200,800,0.028
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,41423000,"Merchant Wholesalers, Durable Goods",15900,16300,400,0.025
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",10800,11600,800,0.074
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42000000,Retail Trade,102000,102200,200,0.002
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42441000,Motor Vehicle and Parts Dealers,15100,15500,400,0.026
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,8500,9000,500,0.059
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42445100,Grocery Stores,19100,20900,1800,0.094
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42446000,Health and Personal Care Stores,6000,6300,300,0.05
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42448000,Clothing and Clothing Accessories Stores,8200,7100,-1100,-0.134
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4100,3400,-700,-0.171
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,42452000,General Merchandise Stores,19300,19500,200,0.01
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,43000000,"Transportation, Warehousing, and Utilities",29600,37500,7900,0.267
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,50000000,Information,12400,11800,-600,-0.048
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,50511000,Publishing Industries (except Internet),2400,2300,-100,-0.042
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,50517000,Telecommunications,3500,3400,-100,-0.029
Metropolitan Area,"Sacramento--Roseville--Arden-Arcade MSA (El Dorado, Placer, Sacramento, and Yolo Counties)",2018-2028,55000000,Financial Activities,53400,55200,1800,0.034
